"","Study_ID","First_author","Year_published","ES_ID","Common_species","Strain","Strain_notes","Sex","Housing","Notes_housing","Age_EE_exposure","Notes_age_EE_exposure","Age_stress_exposure","Notes_age_stress_exposure","Age_assay","Notes_age_assay","Type_EE_exposure","Type_EE_details","EE_exercise","EE_social","Type_stress_exposure","Type_stress_details","Stress_duration","Notes_stress_duration","Exposure_order","Learning_vs_memory","Type_assay","Type_reinforcement","Response_assay_name","Response_details","Response_unit","Response_percent","Response_notes","Response_direction","Data_location","CC_n","CC_mean","CC_median","CC_SD","CC_SE","CC_25thpercentile","CC_75thpercentile","EC_n","EC_mean","EC_median","EC_SD","EC_SE","EC_25thpercentile","EC_75thpercentile","CS_n","CS_mean","CS_median","CS_SD","CS_SE","CS_25thpercentile","CS_7thpercentile","ES_n","ES_mean","ES_median","ES_SD","ES_SE","ES_25thpercentile","ES_75thoercentile","Original_names","ROB_blinding","Blinding_notes","ROB_randomisation","Randomisation_notes","Contact_author","Date_contacted","Author_response","General_comments","Stats_comments","lnRR_E","lnRRV_E","lnRR_S","lnRRV_S","lnRR_ES","lnRRV_ES","SMD_E","SMDV_E","SMD_S","SMDV_S","SMD_ES","SMDV_ES","lnRR_E2","lnRRV_E2","lnRR_S2","lnRRV_S2","lnRR_ES2","lnRRV_ES2","lnRR_E3","lnRRV_E3","lnRR_S3","lnRRV_S3","lnRR_Ea","lnRR_Sa","lnRR_ESa","lnRR_E2a","lnRR_S2a","lnRR_ES2a","lnRR_E3a","lnRR_S3a","SMD_Ea","SMD_Sa","SMD_ESa"
"51",27,"Vivinetto",2013,85,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal",NA,"Adult","PND 67-73","Combination","toys, wheel","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Recognition","Not applicable","Novel object recognition","percent exploration","percent","yes","Object B",1,"Fig. 2b",11,74.14,NA,10.85,"3.27",NA,NA,13,68.62,NA,16.8,"4.66",NA,NA,7,77.93,NA,7.3,"2.76",NA,NA,7,70.86,NA,15.27,"4.83",NA,NA,"CC = AFR NE, EC = AFR EE, CS = MS NE, ES = MS EE",3,NA,1,NA,NA,NA,NA,NA,NA,-0.0695106789933507,0.00223433578083104,0.0336021537422548,0.00223433578083104,-0.0172618424788406,0.00891594205890963,-0.475067110670468,1.18540822168035,0.229723013475039,1.18540822168035,-0.133808578193767,0.456516042489095,-0.0607360544653009,0.0039419517530971,0.0419338463612561,0.00224252238610475,-0.0360640505828854,0.00532521641457609,-0.0779978969441415,0.00497399030581253,0.0246720038824155,0.00667341967280488,-0.0695106789933507,0.0336021537422548,-0.0172618424788406,-0.0607360544653009,0.0419338463612561,-0.0360640505828854,-0.0779978969441415,0.0246720038824155,-0.475067110670468,0.229723013475039,-0.133808578193767
"52",28,"Zubedat",2015,89,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 30","Prenatal",NA,"Adult","PND 95","Combination","objects, wheel","Exercise","Social","Combination","swim, mirror, restraint","Acute",NA,"Stress first","Memory","Recognition","Not applicable","Novel object recognition","percent","percent","yes","Vehicle only",1,"Fig. 1b",12,62.66,NA,11.81,"3.41",NA,NA,12,75.94,NA,6.86,"1.98",NA,NA,12,52.6,NA,10.6,"3.06",NA,NA,12,71.27,NA,13.06,"3.77",NA,NA,"CC = control, EC = EE, CS = PS, ES = PS + EE",3,NA,1,NA,NA,NA,NA,"They had more responses but with no visible error bars",NA,0.179156738317575,0.00126677830547399,-0.0818841919626982,0.00126677830547399,0.066983168644055,0.0051117311929929,1.46402809366303,12.943602887541,-0.670553181309634,12.943602887541,0.423609702631911,0.355660190198277,0.147085879720711,0.00196786499190882,-0.118391219063773,0.00291462725716468,0.0956778293009934,0.00320645219957696,0.214069048364766,0.00314386620108407,-0.0514080504197177,0.00219710393582822,0.179156738317575,-0.0818841919626982,0.066983168644055,0.147085879720711,-0.118391219063773,0.0956778293009934,0.214069048364766,-0.0514080504197177,1.46402809366303,-0.670553181309634,0.423609702631911
"53",28,"Zubedat",2015,90,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 30","Prenatal",NA,"Adult","PND 95","Combination","objects, wheel","Exercise","Social","Combination","swim, mirror, restraint","Acute",NA,"Stress first","Learning","Habituation","Not applicable","Pre-pulse inhibition","percent","percent","yes","dB 59",1,"Fig. 1c",12,35.91,NA,9.46,"2.73",NA,NA,12,72.5,NA,7.86,"2.27",NA,NA,12,19.55,NA,4.71,"1.36",NA,NA,12,48.41,NA,4.71,"1.36",NA,NA,"CC = control, EC = EE, CS = PS, ES = PS + EE",3,NA,1,NA,NA,NA,NA,NA,NA,0.485431329677005,0.00117115339953771,-0.302652301172553,0.00117115339953771,0.0579725371815669,0.00429739597171425,4.51364068338352,122.321046645502,-2.84746640545586,122.321046645502,-0.849554181249472,0.545551585611405,0.460896515678733,0.00258399323960797,-0.338599384297545,0.00336289564443056,0.180269668562755,0.0022745473070927,0.5188690528603,0.00171340273210628,-0.280626847115978,0.000934500327283686,0.485431329677005,-0.302652301172553,0.0579725371815669,0.460896515678733,-0.338599384297545,0.180269668562755,0.5188690528603,-0.280626847115978,4.51364068338352,-2.84746640545586,-0.849554181249472
"54",12,"Novaes",2021,33,"Rat","Wistar",NA,"Male",2,NA,"Adult",NA,"Adult",NA,"Adult",NA,"Objects","toys and tunnels etc","No exercise","Non-social","Restraint",NA,"Acute",NA,"Enrichment first","Learning","Conditioning","Aversive","Contextual fear conditioning","cued fear conditioning from foot shock","percent","yes","Taken from the 'test' day on day 6",1,"Fig. 2a",14,12.47,NA,7.45,"1.99",NA,NA,14,19.63,NA,14.89,"3.98",NA,NA,14,31.83,NA,8.94,"2.39",NA,NA,14,19.63,NA,14.89,"3.98",NA,NA,"CC = CS, EC = EE, CS = CS-str, ES EE-str",1,NA,3,"Only states EE was random",NA,NA,NA,NA,NA,-0.0450907553053603,0.0076532427933015,0.255351721718688,0.0076532427933015,-0.507359294485486,0.0326235591837285,-0.139453644144488,0.207559803484813,0.785604255927049,0.207559803484813,-1.5712085118541,0.285887922489868,0.240426269811485,0.0188820421490094,0.507359294485486,0.00880148135113197,0.240426269811485,0.0188820421490094,-0.266933024674,0.0137415170347192,0,0.0238220778325966,-0.0450907553053603,0.255351721718688,-0.507359294485486,0.240426269811485,0.507359294485486,0.240426269811485,-0.266933024674,0,-0.139453644144488,0.785604255927049,-1.5712085118541
"55",12,"Novaes",2021,34,"Rat","Wistar",NA,"Male",2,NA,"Adult",NA,"Adult",NA,"Adult",NA,"Objects","toys and tunnels etc","No exercise","Non-social","Restraint",NA,"Acute",NA,"Enrichment first","Memory","Conditioning","Aversive","Contextual fear conditioning","extinction of aversive conditioning","percent","yes",NA,1,"Fig. 2b",8,12.65,NA,5.12,"1.81",NA,NA,8,17.35,NA,10.21,"3.61",NA,NA,8,31.81,NA,6.14,"2.17",NA,NA,8,19.52,NA,9.19,"3.25",NA,NA,"CC = CS, EC = EE, CS = CS-str, ES EE-str",1,NA,3,"Only states EE was random",NA,NA,NA,NA,NA,-0.0817773991486632,0.00640546866234806,0.286896207336724,0.00640546866234806,-0.436386313100864,0.0274493915972323,-0.369404328713498,0.67083823228908,1.28786627863053,0.67083823228908,-2.02867852587375,0.502132180594879,0.166787004483142,0.017914429161507,0.499504488337261,0.00711944274696221,0.229905179719538,0.0136292266356138,-0.269599308617723,0.0095349624357253,0.0631181752363967,0.0203299488502701,-0.0817773991486632,0.286896207336724,-0.436386313100864,0.166787004483142,0.499504488337261,0.229905179719538,-0.269599308617723,0.0631181752363967,-0.369404328713498,1.28786627863053,-2.02867852587375
"56",19,"Gaun",2021,58,"Rat","Wistar",NA,"Mixed",3,NA,"Adolescent","PND 21","Prenatal",NA,"Adolescent","PND 50","Combination","objects, wheel. Complexity","Exercise","Social","Combination","CUMS","Chronic",NA,"Stress first","Memory","Recognition","Not applicable","y-maze novel arm","Rate of correct responeses","rate","no",NA,1,"Fig. 6b",16,0.83,NA,0.21,NA,NA,NA,16,0.98,NA,0.24,NA,NA,NA,16,0.55,NA,0.28,NA,NA,NA,16,0.86,NA,0.28,NA,NA,NA,"CC = OPC, EC = OPC + EE, CS = OPS, ES = OPS + EE",3,NA,1,NA,NA,NA,NA,NA,NA,0.287682072451781,0.00653092837639152,-0.249737140887657,0.00653092837639152,0.280887240147063,0.0305729316037083,0.904747846295959,6.61104932301741,-0.78673725764866,6.61104932301741,0.629389806118928,0.256395067698259,0.166126870873974,0.00774938168393933,-0.411507422564127,0.0201992906406068,0.0355066884569098,0.0106261463454998,0.447014111021037,0.022823549919769,-0.130620182417064,0.0103736409631015,0.287682072451781,-0.249737140887657,0.280887240147063,0.166126870873974,-0.411507422564127,0.0355066884569098,0.447014111021037,-0.130620182417064,0.904747846295959,-0.78673725764866,0.629389806118928
"57",10,"Molina",2016,29,"Rat","Wistar",NA,"Male",3,NA,"Early postnatal",NA,"Early postnatal",NA,"Adolescent","PND28","Combination","Objects, wheel, food, size","Exercise","Non-social","Noise",NA,"Acute",NA,"Concurrently","Memory","Conditioning","Appetitive","Inhibitory avoidance","Ratio of memory assay vs learning assay","ratio","yes","PND7",1,"Fig. 6",6,33.25,NA,15.92,"6.5",NA,NA,6,35.5,NA,10.41,"4.25",NA,NA,6,38.5,NA,17.76,"7.25",NA,NA,6,87.75,NA,230.86,"94.25",NA,NA,"CC = ct7d, EC = ctEE7d, CS = Noise7d, ES = NoiseEE7d",3,NA,1,NA,NA,NA,NA,NA,NA,0.3660564480045,0.609458549554301,0.407200455834319,0.609458549554301,0.556896461854144,1.43335016492418,0.160728880852688,0.244167986087139,0.178329223369706,0.244167986087139,0.294623094851374,0.667204870273753,0.0378200853104549,0.017436904861644,0.0853566125300773,0.024985136557418,0.680073159694676,1.41612131226337,0.594716547164599,1.41591326006253,0.642253074384221,1.40836502836676,0.3660564480045,0.407200455834319,0.556896461854144,0.0378200853104549,0.0853566125300773,0.680073159694676,0.594716547164599,0.642253074384221,0.160728880852688,0.178329223369706,0.294623094851374
"58",10,"Molina",2016,30,"Rat","Wistar",NA,"Male",3,NA,"Early postnatal",NA,"Early postnatal",NA,"Adolescent","PND28","Combination","Objects, wheel, food, size","Exercise","Non-social","Noise",NA,"Acute",NA,"Concurrently","Memory","Conditioning","Appetitive","Inhibitory avoidance","Ratio of memory assay vs learning assay","ratio","yes","PND15",1,"Fig. 6",6,35.25,NA,7.96,"3.25",NA,NA,6,45.5,NA,28.78,"11.75",NA,NA,6,55.75,NA,17.76,"7.25",NA,NA,6,31,NA,13.47,"5.5",NA,NA,"CC = ct15d, EC = ctEE15d, CS = Noise15d, ES = NoiseEE15d",3,NA,1,NA,NA,NA,NA,NA,NA,-0.105352441394849,0.0128190227674445,0.0409506601713093,0.0128190227674445,-0.508453288344415,0.0458871667669228,-0.390162708316313,0.623347483548827,0.151775896439657,0.623347483548827,-1.88508374294827,0.669838061228348,0.152425549375363,0.0282549169193544,0.28231720387527,0.0103586355895625,-0.0737105350937823,0.0129987002182838,-0.356027738969052,0.0176322498475684,-0.226136084469145,0.0355285311773603,-0.105352441394849,0.0409506601713093,-0.508453288344415,0.152425549375363,0.28231720387527,-0.0737105350937823,-0.356027738969052,-0.226136084469145,-0.390162708316313,0.151775896439657,-1.88508374294827
"59",1,"Aghighi Bidgoli",2020,1,"Rat","Wistar",NA,"Male",3,"After isolation, animals were kept in group of 6","Adolescent","P21","Prenatal",NA,"Adolescent","P51 - P55","Objects","pipes, ladders etc","No exercise","Non-social","Noise","prenatal noise stress","Intermittent",NA,"Stress first","Learning","Conditioning","Aversive","Morris water maze","Time to find platform","sec","no","Taken from day 3 of learning",2,"Fig. 3 b,c, (did not take data from the injected individuals (-S, -B)",10,10.5,NA,4.46,"1.41",NA,NA,10,15.83,NA,7.43,"2.35",NA,NA,10,20.09,NA,4.11,"1.3",NA,NA,10,13.57,NA,3.29,"1.04",NA,NA,"CC = C-SH-S, EC = C-EE-S, CS = S-SH-S, ES = S-EE-S",3,NA,3,"only states that pre-natal stress was random","Contacted authors re density of EE vs SH cages",NA,"EE and SH were equal densities of 6 indivs per cage",NA,NA,-0.0396784838181761,0.0115700028164571,0.245601215254442,0.0115700028164571,-0.802892321709509,0.0501356404350009,-0.117360939957323,0.168867951138332,0.722903941081663,0.168867951138332,-2.3373565352845,0.400172169877846,0.410531616729443,0.0400723335502817,0.648846921663365,0.0222275403667843,0.2564862166833,0.0239203016653272,-0.392360704980065,0.0100633068847192,-0.154045400046143,0.0279081000682167,0.0396784838181761,-0.245601215254442,0.802892321709509,-0.410531616729443,-0.648846921663365,-0.2564862166833,0.392360704980065,0.154045400046143,0.117360939957323,-0.722903941081663,2.3373565352845
"60",1,"Aghighi Bidgoli",2020,3,"Rat","Wistar",NA,"Male",3,"After isolation, animals were kept in group of 6","Adolescent","P21","Prenatal",NA,"Adolescent","P51 - P55","Objects","pipes, ladders etc","No exercise","Non-social","Noise","prenatal noise stress","Intermittent",NA,"Stress first","Memory","Conditioning","Aversive","Morris water maze","memory of platform location - time spend in target quadrant","sec","no","Taken time spent in target quadrant - white bars",1,"Fig. 4 b,c - white bars",10,17.55,NA,3.1,"0.98",NA,NA,10,17.31,NA,3.1,"0.98",NA,NA,10,10.57,NA,2.53,"0.8",NA,NA,10,18.06,NA,1.96,"0.62",NA,NA,"CC = C-SH-S, EC = C-EE-S, CS = S-SH-S, ES = S-EE-S",3,NA,3,"only states that pre-natal stress was random","Contacted authors re density of EE vs SH cages",NA,"EE and SH were equal densities of 6 indivs per cage",NA,NA,0.229382936274925,0.00310004996470147,-0.196884920981851,0.00310004996470147,0.54944932883045,0.0132343036123293,1.33568241660636,9.02023759015697,-1.14776571799415,9.02023759015697,2.84822760837714,0.422300593975392,-0.013769580723757,0.00632732824028216,-0.507034150029729,0.00884926608334979,0.0286455980769644,0.00429791837790926,0.535679748106693,0.00690697537204711,0.0424151788007214,0.00438503752897948,0.229382936274925,-0.196884920981851,0.54944932883045,-0.013769580723757,-0.507034150029729,0.0286455980769644,0.535679748106693,0.0424151788007214,1.33568241660636,-1.14776571799415,2.84822760837714
"61",6,"Cui",2006,9,"Rat","Unknown","contaced authors re strain","Male",3,NA,"Adolescent","PND 22-52","Early postnatal","PND 2 - 21","Adolescent","PND 53 - 57","Combination","multilevel, toys, running wheel","Exercise","Non-social","Other","nesting material","Chronic",NA,"Stress first","Learning","Conditioning","Aversive","Morris water maze","Escape latency","sec","no","Taken after 16 trials",2,"Fig. 1a",8,18.69,NA,5.854844148,"2.07",NA,NA,8,16.61,NA,7.042783541,"2.49",NA,NA,8,27.82,NA,12.84105915,"4.54",NA,NA,8,13.29,NA,7.042783541,"2.49",NA,NA,"CC = ctr, EC = ctr + EE, CS = str, ES = str + EE",3,NA,3,NA,"asked what strain of rat was used","24/06/2021",NA,NA,NA,-0.441808862839365,0.0253795274122912,0.152368436970536,0.0253795274122912,-0.620759615927875,0.096474431864801,-0.961588886249766,3.82361274463626,0.336353487604524,3.82361274463626,-1.44151494687653,0.514447706033735,-0.117983697842268,0.0347394562918904,0.397766565027825,0.0388981522323597,-0.340976748742318,0.0473699038351014,-0.738743313770143,0.0617349755729105,-0.22299305090005,0.0575762796324413,0.441808862839365,-0.152368436970536,0.620759615927875,0.117983697842268,-0.397766565027825,0.340976748742318,0.738743313770143,0.22299305090005,0.961588886249766,-0.336353487604524,1.44151494687653
"62",6,"Cui",2006,10,"Rat","Unknown","contaced authors re strain","Male",3,NA,"Adolescent","PND 22-52","Early postnatal","PND 2 - 21","Adolescent","PND 53 - 57","Combination","multilevel, toys, running wheel","Exercise","Non-social","Other","nesting material","Chronic",NA,"Stress first","Memory","Conditioning","Aversive","Morris water maze","Time on target quadrant","sec","no",NA,1,"Fig. 1b",8,52.94,NA,38.49489317,"13.61",NA,NA,8,74.5,NA,17.1119841,"6.05",NA,NA,8,9.93,NA,33.9411255,"12",NA,NA,8,55.97,NA,42.76581813,"15.12",NA,NA,"CC = ctr, EC = ctr + EE, CS = str, ES = str + EE",3,NA,3,NA,"asked what strain of rat was used","24/06/2021",NA,NA,NA,0.730074212882687,0.0988747394418592,-0.659507224093332,0.0988747394418592,1.38761542625963,1.60603851254269,0.98026704368006,3.96869390770098,-0.892391033551345,3.96869390770098,0.709968557079523,0.515014429326957,0.341639928586559,0.0726866692015036,-1.67359871874187,1.52646559459651,0.0556566361043132,0.139070091186297,1.72925535484619,1.53335184334119,-0.285983292482245,0.0795729179461761,0.730074212882687,-0.659507224093332,1.38761542625963,0.341639928586559,-1.67359871874187,0.0556566361043132,1.72925535484619,-0.285983292482245,0.98026704368006,-0.892391033551345,0.709968557079523
"63",7,"Menezes",2020,11,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","Mixed adolescent and adult (21 - 80), but mostly adolescence","Early postnatal","PND 1-10","Adult","PND 81","Objects","objects","No exercise","Non-social","MS",NA,"Chronic",NA,"Stress first","Memory","Recognition","Not applicable","Novel object","time exporing novel object 3h later","sec","no",NA,1,"Table 1",9,33,NA,9.986350685,"3.24",NA,NA,9,32.14,NA,12.39047215,"4.02",NA,NA,9,26.78,NA,7.243186453,"2.35",NA,NA,9,23.92,NA,5.054819482,"1.64",NA,NA,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,NA,3,NA,NA,NA,NA,"n taken as averge of range",NA,-0.0642486111191496,0.0110630918061279,-0.25061288925095,0.0110630918061279,-0.0865342100234816,0.0397789014011744,-0.204387598458579,0.299095417927605,-0.793375516597281,0.299095417927605,-0.219771611245784,0.445024642922273,-0.0264062011571138,0.026688795080794,-0.208852221203454,0.0183034308264788,-0.321792632384049,0.0151370887178175,-0.112940411180595,0.0130901063203804,-0.295386431226935,0.0214754705746956,-0.0642486111191496,-0.25061288925095,-0.0865342100234816,-0.0264062011571138,-0.208852221203454,-0.321792632384049,-0.112940411180595,-0.295386431226935,-0.204387598458579,-0.793375516597281,-0.219771611245784
"64",7,"Menezes",2020,12,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","Mixed adolescent and adult (21 - 80), but mostly adolescence","Early postnatal","PND 1-10","Adult","PND 81","Objects","objects","No exercise","Non-social","MS",NA,"Chronic",NA,"Stress first","Memory","Recognition","Not applicable","Novel object","time exporing novel object 24h later","sec","no",NA,1,"Table 1",9,28.5,NA,22.5,"7.3",NA,NA,9,19.86,NA,12.51,"4.06",NA,NA,9,22.78,NA,7.92,"2.57",NA,NA,9,35.67,NA,13.93,"4.52",NA,NA,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,NA,3,NA,NA,NA,NA,"n taken as averge of range",NA,0.0796226026411011,0.0366724142218775,0.189498662171486,0.0366724142218775,0.809623470009343,0.143715609805874,0.140154810824066,0.199506280598194,0.332744009697605,0.199506280598194,1.42001556566689,0.444717269041627,-0.361196428657578,0.113339389653308,-0.224021129255569,0.0826828321712479,0.224405912096195,0.0861975431059717,0.448427041351764,0.0303762201525659,0.585602340753774,0.0610327776346261,0.0796226026411011,0.189498662171486,0.809623470009343,-0.361196428657578,-0.224021129255569,0.224405912096195,0.448427041351764,0.585602340753774,0.140154810824066,0.332744009697605,1.42001556566689
"65",7,"Menezes",2020,15,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","Mixed adolescent and adult (21 - 80), but mostly adolescence","Early postnatal","PND 1-10","Adult","PND 81","Objects","objects","No exercise","Non-social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Aversive","Inhibitory avoidance","latency to step onto platform after 3h","sec","no","Only used test section",1,"Fig. 3a",10,84.75,NA,110.62,"34.98",NA,NA,10,84.75,NA,123.39,"39.02",NA,NA,10,141.26,NA,136.1,"43.04",NA,NA,10,104.93,NA,85.1,"26.91",NA,NA,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,NA,3,NA,NA,NA,NA,NA,NA,-0.175240804323842,0.122664546650975,0.373250668720699,0.122664546650975,-0.297308702810957,0.540943524252105,-0.157470428649295,0.223984679494964,0.332408675285286,0.223984679494964,-0.31494085729859,0.400309961698737,0,0.382340933336814,0.510896417720216,0.263195703599034,0.213587714909259,0.236142784845864,-0.297308702810957,0.158602590915291,0.213587714909259,0.277747820653071,-0.175240804323842,0.373250668720699,-0.297308702810957,0,0.510896417720216,0.213587714909259,-0.297308702810957,0.213587714909259,-0.157470428649295,0.332408675285286,-0.31494085729859
"66",7,"Menezes",2020,16,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","Mixed adolescent and adult (21 - 80), but mostly adolescence","Early postnatal","PND 1-10","Adult","PND 81","Objects","objects","No exercise","Non-social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Aversive","Inhibitory avoidance","latency to step onto platform after 24h","sec","no","Only used test section",1,"Fig. 3b",10,149.33,NA,170.16,"53.81",NA,NA,10,80.72,NA,93.57,"29.59",NA,NA,10,20.18,NA,21.28,"6.73",NA,NA,10,83.41,NA,85.07,"26.9",NA,NA,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,NA,3,NA,NA,NA,NA,NA,NA,-0.0322531253865508,0.161709804789997,-0.797855876531467,0.161709804789997,2.03424843735188,0.479435310659048,-0.0252497262933512,0.103187743389446,-0.593509365624011,0.103187743389446,1.23751818383472,0.400007969358474,-0.615172246023824,0.26421635415408,-2.00146660714371,0.24104269305786,-0.582390415815658,0.23386362818732,1.41907619132806,0.215218956504969,0.0327818302081662,0.238392617601188,-0.0322531253865508,-0.797855876531467,2.03424843735188,-0.615172246023824,-2.00146660714371,-0.582390415815658,1.41907619132806,0.0327818302081662,-0.0252497262933512,-0.593509365624011,1.23751818383472
"67",7,"Menezes",2020,17,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","Mixed adolescent and adult (21 - 80), but mostly adolescence","Early postnatal","PND 1-10","Adult","PND 81","Objects","objects","No exercise","Non-social","MS",NA,"Chronic",NA,"Stress first","Learning","Conditioning","Aversive","Morris water maze - cognitive flexibility","latency to enter target quadrant","sec","no","Only used 8th training session",2,"Fig. 1a",9,13.82,NA,5.46,"1.82",NA,NA,9,6.55,NA,3.27,"1.09",NA,NA,9,22.18,NA,4.38,"1.46",NA,NA,9,10.55,NA,4.35,"1.45",NA,NA,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,NA,3,NA,NA,NA,NA,NA,NA,-0.744440474947496,0.0154539943914367,0.474228858274375,0.0154539943914367,0.00358664669221764,0.0682590249195207,-2.1316654135878,20.5590995708002,1.39404150856853,20.5590995708002,-0.983498540025695,0.507555519937312,-0.746651768692363,0.0450361233508395,0.473074163582697,0.0216760379971354,-0.269990958417448,0.036233060509225,-0.743065122000146,0.0232229015686813,0.476660810274915,0.0465829869223853,0.744440474947496,-0.474228858274375,-0.00358664669221764,0.746651768692363,-0.473074163582697,0.269990958417448,0.743065122000146,-0.476660810274915,2.1316654135878,-1.39404150856853,0.983498540025695
"68",7,"Menezes",2020,18,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","Mixed adolescent and adult (21 - 80), but mostly adolescence","Early postnatal","PND 1-10","Adult","PND 81","Objects","objects","No exercise","Non-social","MS",NA,"Chronic",NA,"Stress first","Learning","Conditioning","Aversive","Morris water maze - cognitive flexibility","escape latency to reversed quadrant","sec","no","Only used blac bars (reversed quadrant)",2,"Fig. 1b",9,17.45,NA,12,"4",NA,NA,9,11.64,NA,13.08,"4.36",NA,NA,9,32,NA,10.92,"3.64",NA,NA,9,12,NA,9.81,"3.27",NA,NA,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,NA,3,NA,NA,NA,NA,NA,NA,-0.738021865530824,0.0651109092274411,0.413795161411151,0.0651109092274411,-0.575937046666582,0.280043056659306,-1.12051354236001,5.76108880486587,0.647301701533812,5.76108880486587,-1.23208734336215,0.461882647202947,-0.404892206345144,0.192847744159306,0.60639625415129,0.0654837870917521,-0.374432998860436,0.126800974591752,-0.980829253011726,0.0871953125,0.0304592074847085,0.214559269567554,0.738021865530824,-0.413795161411151,0.575937046666582,0.404892206345144,-0.60639625415129,0.374432998860436,0.980829253011726,-0.0304592074847085,1.12051354236001,-0.647301701533812,1.23208734336215
"69",9,"Mohammadian",2018,23,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","adolescence","Early postnatal",NA,"Adult",NA,"Combination","objects, wheel, size","Exercise","Non-social","MS",NA,"Chronic",NA,"Enrichment first","Learning","Conditioning","Aversive","Morris water maze","escape latency","sec","no","Day 5",2,"Fig. 2a",15,17.33,NA,13.04,"3.34",NA,NA,15,14.33,NA,13.04,"3.34",NA,NA,15,18.33,NA,15.62,"4",NA,NA,15,8.67,NA,7.81,"2",NA,NA,"CC = NO MS/SE, EC = No MS/EE, CS = MS/SE, ES = MS/EE",3,NA,1,NA,"Figure 2 is very hard to read - need raw/descriptive data.",NA,NA,"N calculated from df (61/4)s","N calculated from DF (((1+1)+ 55) +1) /4",-0.438535396505844,0.0508219763881809,-0.159217188448537,0.0508219763881809,-0.558586409171729,0.195457898732812,-0.49846239980818,1.93015239683564,-0.183478260908856,1.93015239683564,-0.524448591267374,0.268737206366854,-0.190083861887434,0.0929497669887181,0.0560999581240988,0.0861568428916998,-0.692570312935064,0.0918425696892811,-0.748670271059163,0.102508131744094,-0.50248645104763,0.109301055841112,0.438535396505844,0.159217188448537,0.558586409171729,0.190083861887434,-0.0560999581240988,0.692570312935064,0.748670271059163,0.50248645104763,0.49846239980818,0.183478260908856,0.524448591267374
"70",9,"Mohammadian",2018,24,"Rat","Wistar",NA,"Female",3,NA,"Adolescent","adolescence","Early postnatal",NA,"Adult",NA,"Combination","objects, wheel, size","Exercise","Non-social","MS",NA,"Chronic",NA,"Enrichment first","Learning","Conditioning","Aversive","Morris water maze","escape latency","sec","no","Day 5",2,"Fig. 2b",15,11.93,NA,6.48,"1.66",NA,NA,15,10.61,NA,11.72,"3",NA,NA,15,21.22,NA,16.79,"4.3",NA,NA,15,11.93,NA,12.97,"3.32",NA,NA,"CC = NO MS/SE, EC = No MS/EE, CS = MS/SE, ES = MS/EE",3,NA,1,NA,"Figure 2 is very hard to read - need raw/descriptive data.",NA,NA,"N calculated from df (61/4)s","N calculated from DF (((1+1)+ 55) +1) /4",-0.385751208020241,0.059747414372868,0.385751208020241,0.059747414372868,-0.458628613592079,0.221547718117589,-0.422889161629401,1.4079309893438,0.422889161629401,1.4079309893438,-0.635330182504491,0.26815696035853,-0.117259283483933,0.101014237031986,0.575887897076012,0.0614056217534222,0,0.0984654594288608,-0.575887897076012,0.120533481085603,0.117259283483933,0.160142096364166,0.385751208020241,-0.385751208020241,0.458628613592079,0.117259283483933,-0.575887897076012,0,0.575887897076012,-0.117259283483933,0.422889161629401,-0.422889161629401,0.635330182504491
